1	2247
1	1384
3	1881
4	3474
5	1280
6	3318
1	1489
5	1489
3	1959
2	7941
3	4676
1	9770
4	2664
5	6348
5	4545
3	2691
2	627
1	3187
2	2273
5	4545
3	2299
1	2168
1	3187
2	1176
5	8255
2	2247
5	2064
1	3291
5	11781
5	1567
1	8202
4	2064
4	2821
1	4310
5	1463
3	2351
2	1306
4	1646
5	1228
3	914
5	3474
2	2769
6	888
2	1358
1	2194
5	1463
5	5094
4	6034
5	1985
5	1123
1	12748
2	7419
1	1724
3	4232
5	4389
3	9300
1	1045
4	3056
1	5251
2	1672
5	1515
3	11468
1	1358
3	1332
4	3344
4	1358
1	10893
1	2429
3	1254
3	2220
3	8960
2	1515
5	5303
5	1176
5	2612
5	2011
3	1463
1	4754
1	14602
5	1855
5	1855
3	7001
5	810
1	888
3	1019
5	4859
5	3892
3	1176
2	4389
1	4702
1	2795
5	5433
2	1437
5	3422
1	5146
5	2795
2	1254
5	2038
1	3135
4	2612
3	8411
2	1176
5	2090
4	4206
1	3030
1	5564
1	6191
2	4624
3	3892
1	4780
5	2691
1	2638
1	2299
1	1071
5	1254
1	4284
5	1985
5	4598
5	6504
1	9038
4	2456
1	5616
1	1620
3	7602
3	940
