2	5016
6	3918
5	2299
6	1176
6	1541
2	5590
3	810
3	4049
1	2090
3	2664
2	3239
4	1724
1	1750
1	1541
3	549
3	2926
2	3239
2	940
5	5094
6	3396
2	3213
3	2194
3	1802
6	5146
2	3605
2	2351
2	2456
1	940
2	2508
6	5616
1	3370
2	1045
2	1228
1	2482
1	1176
1	5172
6	1515
3	2847
3	2952
2	2534
2	2664
2	2926
2	2220
2	1306
2	1437
2	3004
3	5355
1	11755
2	2743
2	1176
2	2560
1	4206
4	3709
1	1567
1	2612
2	2664
1	1776
3	4415
2	2560
1	1515
5	914
2	4963
6	1567
2	1515
5	1959
1	1463
1	2664
6	2664
3	1384
1	1071
6	6740
2	3657
1	1176
5	6269
1	5224
5	3004
1	1620
5	7602
2	3657
1	3135
2	1306
2	5433
1	1724
6	1123
1	3239
1	3239
6	2273
1	3657
6	2691
3	7889
2	2220
4	1907
2	2325
2	5251
1	914
4	5460
5	6191
3	5198
4	2847
1	4101
2	2247
2	4023
4	4598
1	4415
1	8150
1	3553
2	3109
2	1672
1	1881
1	3004
1	2351
1	3109
1	3161
3	2325
1	1176
6	4571
2	2821
4	3971
1	3291
5	627
5	5486
1	1149
2	862
3	2664
2	1202
1	1228
2	2952
2	1384
1	1620
2	3318
1	3187
2	3396
1	1959
1	2325
1	3213
1	3030
1	5355
2	836
4	1985
1	1907
2	2900
1	5407
4	6087
3	3396
4	2926
1	2064
