1	2560
3	1672
1	1149
2	549
2	1149
3	1384
2	2456
2	3004
2	3788
2	1411
3	5198
4	3161
1	3788
5	4754
1	3474
3	5277
3	2351
2	3004
2	2090
1	888
4	967
1	3762
2	6583
5	1515
6	1489
1	810
2	1202
3	1698
1	2168
1	1593
2	1802
3	549
1	1176
3	888
2	1593
2	2142
1	1411
1	2038
4	731
2	2456
4	1985
3	1358
6	2011
1	1489
1	940
2	1228
1	1411
1	3056
2	3396
2	1672
3	8777
3	2168
1	3239
3	4989
2	1776
1	7079
1	7967
1	2873
1	2194
1	3396
3	1907
2	2064
1	3657
6	679
3	2273
2	2351
1	5747
1	11416
6	4467
6	4075
1	8516
1	5068
2	993
2	862
3	4180
1	6740
3	967
1	810
6	2090
2	1489
1	1254
3	4598
3	1959
6	1489
3	888
2	2011
2	888
4	2560
1	7053
1	2168
2	2873
4	967
1	3448
4	1254
4	1437
1	2664
2	1071
5	1358
1	1515
2	2351
1	4232
2	3866
3	2638
1	1672
2	3474
6	1646
2	1802
2	2011
3	6400
2	1567
2	3004
2	2534
4	4859
1	2795
2	6113
1	2821
2	1776
2	2534
1	4493
4	2638
2	3788
1	4885
2	2038
4	3918
4	1855
1	5904
5	5329
1	2011
1	1907
1	7079
2	6296
1	1254
2	2429
1	2717
2	1228
3	1933
4	7445
1	1463
3	1019
4	2377
1	1776
1	5303
2	1176
3	8882
1	967
1	3527
1	1672
1	3474
1	7210
1	2351
3	2220
1	2456
2	3004
2	2377
2	2011
3	758
4	2560
6	2273
2	1646
1	2638
5	3213
5	1306
4	3997
2	2011
3	993
2	1855
3	2560
1	2769
6	3788
1	810
2	1358
5	2247
2	1672
4	1907
6	731
2	888
2	1750
5	5120
